"","ticker","gvkey","cik","cusip","CompanyName1","CompanyName2"
"13","ADP",1891,8670,"053015103","Automatic Data Processing Inc.","AUTOMATIC DATA PROCESSING"
"29","AMCR",100243,1748790,"G0250X107","Amcor PLC","AMCOR PLC"
"77","CAH",2751,721371,"14149Y108","Cardinal Health Inc.","CARDINAL HEALTH INC"
"98","CLX",3121,21076,"189054109","Clorox Company","CLOROX CO/DE"
"111","CPB",2663,16732,"134429109","Campbell Soup Company","CAMPBELL SOUP CO"
"116","CSCO",20779,858877,"17275R102","Cisco Systems Inc.","CISCO SYSTEMS INC"
"251","JKHY",11811,779152,"426281101","Jack Henry & Associates Inc.","HENRY (JACK) & ASSOCIATES"
"261","KLAC",6304,319201,"482480100","KLA Corporation","KLA CORP"
"279","LRCX",6565,707549,"512807108","Lam Research Corporation","LAM RESEARCH CORP"
"316","MSFT",12141,789019,"594918104","Microsoft Corporation","MICROSOFT CORP"
"321","MU",7343,723125,"595112103","Micron Technology Inc.","MICRON TECHNOLOGY INC"
"364","PG",8762,80424,"742718109","Procter & Gamble Company","PROCTER & GAMBLE CO"
"366","PH",8358,76334,"701094104","Parker-Hannifin Corporation","PARKER-HANNIFIN CORP"
"427","SYY",10247,96021,"871829107","Sysco Corporation","SYSCO CORP"
"432","TECH",15414,842023,"09073M104","Bio-Techne Corporation","BIO-TECHNE CORP"
"479","WDC",11399,106040,"958102105","Western Digital Corporation","WESTERN DIGITAL CORP"
