"","table_name"
"1","aco_amda"
"2","aco_imda"
"3","aco_indfnta"
"4","aco_indfntq"
"5","aco_indfntytd"
"6","aco_indsta"
"7","aco_indstq"
"8","aco_indstytd"
"9","aco_notesa"
"10","aco_notesq"
"11","aco_notessa"
"12","aco_notesytd"
"13","aco_pnfnda"
"14","aco_pnfndq"
"15","aco_pnfndytd"
"16","aco_pnfnta"
"17","aco_pnfntq"
"18","aco_pnfntytd"
"19","aco_transa"
"20","aco_transq"
"21","aco_transsa"
"22","aco_transytd"
"23","adsprate"
"24","asec_amda"
"25","asec_imda"
"26","asec_notesa"
"27","asec_notesq"
"28","asec_transa"
"29","asec_transq"
"30","bank_aacctchg"
"31","bank_adesind"
"32","bank_afnd1"
"33","bank_afnd2"
"34","bank_afnddc1"
"35","bank_afnddc2"
"36","bank_afntind"
"37","bank_funda"
"38","bank_funda_fncd"
"39","bank_fundq"
"40","bank_fundq_fncd"
"41","bank_iacctchg"
"42","bank_idesind"
"43","bank_ifndq"
"44","bank_ifndytd"
"45","bank_ifntq"
"46","bank_ifntytd"
"47","bank_names"
"48","bank_namesq"
"49","chars"
"50","co_aacctchg"
"51","co_aaudit"
"52","co_adesind"
"53","co_adjfact"
"54","co_afnd1"
"55","co_afnd2"
"56","co_afnddc1"
"57","co_afnddc2"
"58","co_afntind1"
"59","co_afntind2"
"60","co_ainvval"
"61","co_amkt"
"62","co_busdescl"
"63","co_cotype"
"64","co_filedate"
"65","co_fortune"
"66","co_hgic"
"67","co_iacctchg"
"68","co_iaudit"
"69","co_idesind"
"70","co_ifndq"
"71","co_ifndsa"
"72","co_ifndytd"
"73","co_ifntq"
"74","co_ifntsa"
"75","co_ifntytd"
"76","co_imkt"
"77","co_industry"
"78","co_ipcd"
"79","co_mthly"
"80","co_offtitl"
"81","company"
"82","currency"
"83","dd_group"
"84","dd_group_xref"
"85","dd_item"
"86","dd_package"
"87","ecind_desc"
"88","ecind_mth"
"89","exrt_dly"
"90","exrt_mth"
"91","filings"
"92","funda"
"93","funda_fncd"
"94","fundq"
"95","fundq_fncd"
"96","g_chars"
"97","g_co_aaudit"
"98","g_co_adesind"
"99","g_co_afnd1"
"100","g_co_afnd2"
"101","g_co_afnddc1"
"102","g_co_afnddc2"
"103","g_co_afntind1"
"104","g_co_afntind2"
"105","g_co_ainvval"
"106","g_co_gsuppl"
"107","g_co_hgic"
"108","g_co_iaudit"
"109","g_co_idesind"
"110","g_co_ifndq"
"111","g_co_ifndsa"
"112","g_co_ifndytd"
"113","g_co_ifntq"
"114","g_co_ifntsa"
"115","g_co_ifntytd"
"116","g_co_industry"
"117","g_co_ipcd"
"118","g_co_offtitl"
"119","g_company"
"120","g_currency"
"121","g_ecind_desc"
"122","g_ecind_mth"
"123","g_exrt_dly"
"124","g_exrt_mth"
"125","g_funda"
"126","g_funda_fncd"
"127","g_fundq"
"128","g_fundq_fncd"
"129","g_idx_daily"
"130","g_idx_index"
"131","g_idx_mth"
"132","g_idxcst_his"
"133","g_names"
"134","g_names_ix"
"135","g_names_ix_cst"
"136","g_namesq"
"137","g_sec_adesind"
"138","g_sec_adjfact"
"139","g_sec_afnd"
"140","g_sec_afnddc"
"141","g_sec_afnt"
"142","g_sec_divid"
"143","g_sec_dprc"
"144","g_sec_dtrt"
"145","g_sec_history"
"146","g_sec_idesind"
"147","g_sec_ifnd"
"148","g_sec_ifnt"
"149","g_sec_split"
"150","g_secd"
"151","g_secnamesd"
"152","g_security"
"153","g_sedolgvkey"
"154","g_tmptable_pkg6153_tbl4023"
"155","idx_ann"
"156","idx_anndes"
"157","idx_daily"
"158","idx_index"
"159","idx_mth"
"160","idx_qrt"
"161","idx_qrtdes"
"162","idxcst_his"
"163","io_qaggregate"
"164","io_qbuysell"
"165","io_qchanges"
"166","io_qfloatadj"
"167","io_qholders"
"168","it_mbuysell"
"169","it_msummary"
"170","it_r_rltn"
"171","names"
"172","names_aco_indsta"
"173","names_aco_indstq"
"174","names_aco_pnfnda"
"175","names_aco_pnfndq"
"176","names_adsprate"
"177","names_ix"
"178","names_ix_cst"
"179","names_seg"
"180","namesd"
"181","namesm"
"182","namesq"
"183","r_accstd"
"184","r_acqmeth"
"185","r_auditors"
"186","r_auopic"
"187","r_balpres"
"188","r_cf_formt"
"189","r_co_status"
"190","r_coindpre"
"191","r_compstat"
"192","r_consol"
"193","r_country"
"194","r_cstclscd"
"195","r_datacode"
"196","r_datafmt"
"197","r_divtaxmarker"
"198","r_docsrce"
"199","r_ex_codes"
"200","r_exchgtier"
"201","r_exrt_typ"
"202","r_fndfntcd"
"203","r_footnts"
"204","r_foricd"
"205","r_giccd"
"206","r_hcalendr"
"207","r_idxclscd"
"208","r_inactvcd"
"209","r_incstats"
"210","r_indfmt"
"211","r_indsec"
"212","r_invval"
"213","r_issuetyp"
"214","r_majidxcl"
"215","r_mic_codes"
"216","r_naiccd"
"217","r_notetype"
"218","r_ntsubtype"
"219","r_offcrso"
"220","r_ogmethod"
"221","r_opinions"
"222","r_prc_stat"
"223","r_qsrcdoc"
"224","r_sec_stat"
"225","r_secannfn"
"226","r_sectors"
"227","r_siccd"
"228","r_spiicd"
"229","r_spmicd"
"230","r_statalrt"
"231","r_states"
"232","r_stko"
"233","r_titles"
"234","r_updates"
"235","sec_adesind"
"236","sec_adjfact"
"237","sec_afnd"
"238","sec_afnddc"
"239","sec_afnt"
"240","sec_divid"
"241","sec_dprc"
"242","sec_dtrt"
"243","sec_history"
"244","sec_idesind"
"245","sec_ifnd"
"246","sec_ifnt"
"247","sec_mdivfn"
"248","sec_mshare"
"249","sec_msptfn"
"250","sec_mth"
"251","sec_mthdiv"
"252","sec_mthprc"
"253","sec_mthspt"
"254","sec_mthtrt"
"255","sec_shortint"
"256","sec_spind"
"257","sec_split"
"258","secd"
"259","secm"
"260","security"
"261","sedolgvkey"
"262","seg_ann"
"263","seg_annfund"
"264","seg_customer"
"265","seg_geo"
"266","seg_naics"
"267","seg_product"
"268","seg_type"
"269","spidx_cst"
"270","spind"
"271","spind_dly"
"272","spind_mth"
"273","tmptable_pkg6153_tbl4023"
"274","wrds_seg_customer"
"275","wrds_seg_geo"
"276","wrds_seg_product"
"277","wrds_segmerged"
"278","xfl_column"
"279","xfl_table"
